,,,,,,,,,
Licencias Emitidas 2022-2025,,,,,,,,,
Fecha de Emisión,Mes,Año,Provincia,Municipio,Barrio/Sector,Número de Licencia,Tipologia,Metros Cuadrados,Inversión Total
02/25/2022,FEBRERO,2022,DISTRITO NACIONAL,SANTO DOMINGO DE GUZMÁN,ENSANCHE NACO,93752,COMERCIAL Y OFICINAS,341.47,21034552
02/25/2022,FEBRERO,2022,DISTRITO NACIONAL,SANTO DOMINGO DE GUZMÁN,LOS RÍOS,91746-A,COMERCIAL Y OFICINAS,128,7884800
02/25/2022,FEBRERO,2022,DISTRITO NACIONAL,SANTO DOMINGO DE GUZMÁN,VIEJO ARROYO HONDO,92880-A,COMERCIAL Y OFICINAS,589.94,36340304
02/25/2022,FEBRERO,2022,PERAVIA,BANÍ,BOCA CANASTA,93807,APARTAMENTOS,6827.83,390551876
02/26/2022,FEBRERO,2022,SANTIAGO,SANTIAGO,CERRO ALTO,22794 RN,APARTAMENTOS,410.37,25278792
02/28/2022,FEBRERO,2022,DISTRITO NACIONAL,SANTO DOMINGO DE GUZMÁN,BELLA VISTA,93967,COMERCIAL Y OFICINAS,473,29136800
02/28/2022,FEBRERO,2022,DISTRITO NACIONAL,SANTO DOMINGO DE GUZMÁN,ENSANCHE NACO,93372-B,COMERCIAL Y OFICINAS,6675.32,411199712
02/28/2022,FEBRERO,2022,DISTRITO NACIONAL,SANTO DOMINGO DE GUZMÁN,ENSANCHE NACO,93969,APARTAMENTOS,5878.7,362127920
02/28/2022,FEBRERO,2022,HERMANAS MIRABAL,TENARES,CIUDAD MODELO,339 RNE,APARTAMENTOS,1127.15,69432440
02/28/2022,FEBRERO,2022,SANTIAGO,LICEY AL MEDIO,EL CENTRO,22804 RN,APARTAMENTOS,4924.26,303334416
02/28/2022,FEBRERO,2022,SANTIAGO,SANTIAGO,LOS LAURELES,22803 RN,VIVIENDAS,255.39,15732024
02/28/2022,FEBRERO,2022,SANTO DOMINGO,SANTO DOMINGO ESTE,ENSANCHE OZAMA,93966,APARTAMENTOS,2007.65,123671240
02/28/2022,FEBRERO,2022,SANTO DOMINGO,SANTO DOMINGO ESTE,LOS ALPES IV,93965,APARTAMENTOS,739.24,45537184
02/28/2022,FEBRERO,2022,SANTO DOMINGO,SANTO DOMINGO ESTE,LOS TRES OJOS,93968,APARTAMENTOS,1356.37,83552392
02/28/2022,FEBRERO,2022,SANTO DOMINGO,SANTO DOMINGO OESTE,HERRERA,92419-R-A,VIVIENDAS,29.93,1843688
03/01/2022,MARZO,2022,DAJABÓN,DAJABÓN,MEJORAMIENTO SOCIAL,93952,APARTAMENTOS,1850,113960000
03/01/2022,MARZO,2022,LA ALTAGRACIA,HIGÜEY,PUNTA CANA,93970,APARTAMENTOS,9257.6,570268160
03/01/2022,MARZO,2022,SANTIAGO,SANTIAGO,LOS CERROS DE GURABO,22805 RN,COMERCIAL Y OFICINAS,629.28,38763648
03/01/2022,MARZO,2022,SANTO DOMINGO,SANTO DOMINGO ESTE,PRADO ORIENTAL,89954-R-A,APARTAMENTOS,630.72,38852352
03/01/2022,MARZO,2022,SANTO DOMINGO,SANTO DOMINGO ESTE,TROPICAL DEL ESTE,93972,APARTAMENTOS,1448,89196800
03/02/2022,MARZO,2022,DISTRITO NACIONAL,SANTO DOMINGO DE GUZMÁN,BELLA VISTA,93973,APARTAMENTOS,6574.62,404996592
03/02/2022,MARZO,2022,DUARTE,SAN FRANCISCO DE MACORÍS,LAS CEJAS,340 RNE,APARTAMENTOS,727,44783200
03/02/2022,MARZO,2022,DUARTE,SAN FRANCISCO DE MACORÍS,URBANIZACIÓN LOS MESTROS III,341 RNE,APARTAMENTOS,575.6,35456960
03/02/2022,MARZO,2022,SANTIAGO,LICEY AL MEDIO,LAS PALOMAS ARRIBA,22821 RN,APARTAMENTOS,552.6,34040160
03/02/2022,MARZO,2022,SANTIAGO,SANTIAGO,LA TERREZA,22806 RN,APARTAMENTOS,1520.73,93676968
03/02/2022,MARZO,2022,SANTO DOMINGO,SANTO DOMINGO NORTE,MARAÑÓN II,93974,APARTAMENTOS,991.62,61083792
03/03/2022,MARZO,2022,SANTIAGO,PUÑAL,LOS ALBINOS,22808 RN,APARTAMENTOS,859.59,52950744
03/03/2022,MARZO,2022,SANTIAGO,SANTIAGO,EL DESPERTAR,22809 RN,APARTAMENTOS,656.79,40458264
